foodchain, name, calories, carbs, fat, protein
Culver's,Caffeine Free Diet Pepsi Large,0,1,0,0
McDonald's,Mccafe Coffee,0,1,0,2
McDonald's,Mccafe Coffee,0,1,0,2
Wendy's,Medium Diet Coke,0,1,0,0
Wendy's,Large Diet Coke,0,1,0,0
Wendy's,Value Brewed Unsweetened Iced Tea,0,1,0,0
Wendy's,Small Brewed Unsweetened Iced Tea,0,1,0,0
Wendy's,Medium Brewed Unsweetened Iced Tea,0,1,0,0
Wendy's,Original Redhead Roasters Coffee Large,0,0,1,0
Wendy's,Small Hot Tea,0,1,0,0
Wendy's,Medium Coke Zero,0,1,0,0
Wendy's,Large Coke Zero,0,1,0,0
Wendy's,Original Redhead Roasters Coffee Large,0,0,1,0
Pizza Hut,Buffalo Drizzle,0,1,0,0
Pizza Hut,Barbeque Drizzle,0,1,0,0
Pizza Hut,Buffalo Drizzle,0,1,0,0
Pizza Hut,Buffalo Drizzle,0,1,0,0
Pizza Hut,Barbeque Drizzle,0,1,0,0
Pizza Hut,Buffalo Drizzle,0,1,0,0
Pizza Hut,Lettuce,0,1,0,0
Pizza Hut,Sliced Roma Tomatoes,0,1,0,0
Pizza Hut,Chopped Garlic,0,1,0,0
Pizza Hut,Sauerkraut,0,1,0,0
Pizza Hut,Sliced Roma Tomatoes,0,1,0,0
Pizza Hut,Chopped Garlic,0,1,0,0
Pizza Hut,Sauerkraut,0,1,0,0
Pizza Hut,Sliced Roma Tomatoes,0,1,0,0
Pizza Hut,Buffalo Pizza Sauce,0,1,0,0
Pizza Hut,Classic Marinara Pizza Sauce,0,1,0,0
Pizza Hut,Premium Crushed Tomato Pizza Sauce,0,1,0,0
Pizza Hut,Buffalo Pizza Sauce,0,1,0,0
Pizza Hut,Classic Marinara Pizza Sauce,0,1,0,0
Pizza Hut,Premium Crushed Tomato Pizza Sauce,0,1,0,0
Pizza Hut,Buffalo Pizza Sauce,0,1,0,0
Pizza Hut,Classic Marinara Pizza Sauce,0,1,0,0
Pizza Hut,Premium Crushed Tomato Pizza Sauce,0,1,0,0
Pizza Hut,Buffalo Pizza Sauce,0,1,0,0
Pizza Hut,Fresh Red Onions,0,1,0,0
Pizza Hut,Green Chile Peppers,0,1,0,0
Pizza Hut,Peruvian Cherry Peppers,0,1,0,0
Pizza Hut,Diced Roma Tomatoes,0,1,0,0
Pizza Hut,Fresh Green Bell Peppers,0,1,0,0
Pizza Hut,Fresh Mushrooms,0,1,0,1
Pizza Hut,Sliced Jalapeno Peppers,0,1,0,0
Pizza Hut,Diced Roma Tomatoes,0,1,0,0
Pizza Hut,Fresh Green Bell Peppers,0,1,0,0
Pizza Hut,Sliced Jalapeno Peppers,0,1,0,0
Pizza Hut,Diced Roma Tomatoes,0,1,0,0
Pizza Hut,Fresh Green Bell Peppers,0,1,0,0
Pizza Hut,Sliced Jalapeno Peppers,0,1,0,0
Pizza Hut,Diced Roma Tomatoes,0,1,0,0
